gpio,time,temperature,humidity,measure_name
22,1695369094882,77.49,59.62,metric
22,1695369239185,77.53,59.82,metric
22,1695369336205,77.59,59.63,metric
22,1695369542595,77.87,59.67,metric
22,1695369679025,77.63,59.18,metric
22,1695369854433,77.41,59.51,metric
22,1695369935842,77.11,59.2,metric
22,1695370483011,77.99,59.8,metric
22,1695370496008,77.82,59.85,metric
22,1695370625909,77.71,59.94,metric
22,1695370646881,77.18,59.06,metric
22,1695370931552,77.54,59.78,metric
22,1695370979010,76.1,59.69,metric
22,1695371574946,75.69,59.63,metric
22,1695371708617,75.87,59.03,metric
22,1695372552892,75.41,60.93,metric
22,1695372619305,76.1,60.08,metric
22,1695372700818,75.89,60.71,metric
22,1695372799492,76.07,60.17,metric
22,1695373059436,75.6,60.1,metric
22,1695373461435,75.71,60.06,metric
22,1695373482393,75.61,60.03,metric
22,1695373514360,76.12,60.54,metric
22,1695373580749,75.48,60.97,metric
22,1695373794244,76.03,60.54,metric
22,1695373853236,76.07,60.47,metric
22,1695374399322,75.27,60.45,metric
22,1695374869921,75.28,60.61,metric
22,1695375046574,76.13,60.75,metric
22,1695375139959,75.24,60.05,metric
22,1695375152923,76.04,60.77,metric
22,1695375236355,75.44,60.84,metric
22,1695375361276,75.6,60.3,metric
22,1695375758759,75.57,60.61,metric
22,1695375821152,76.1,60.13,metric
22,1695375965675,76.17,60.0,metric
22,1695376407849,75.9,60.45,metric
22,1695376532451,76.2,60.58,metric
22,1695376592923,75.21,60.46,metric
22,1695376611446,75.56,60.72,metric
22,1695376695407,76.07,60.81,metric
22,1695376735927,75.33,60.11,metric
22,1695376859496,75.67,60.25,metric
22,1695377078834,75.71,61.79,metric
22,1695377172739,75.53,60.32,metric
22,1695377423328,75.87,60.09,metric
22,1695377736948,75.83,60.59,metric
22,1695378345456,76.11,60.27,metric
22,1695378923911,75.24,60.84,metric
22,1695379081146,75.31,61.94,metric
22,1695379178120,76.05,60.11,metric
22,1695379326612,75.54,61.57,metric
22,1695379341199,75.94,61.94,metric
22,1695379420644,75.4,61.83,metric
22,1695379502597,75.98,61.97,metric
22,1695379728053,75.98,60.39,metric
22,1695380346033,75.38,60.44,metric
22,1695380407777,75.94,60.0,metric
22,1695380555329,75.96,60.56,metric
22,1695380616293,76.07,61.56,metric
22,1695380746991,75.62,61.31,metric
22,1695381272784,75.58,61.15,metric
22,1695381616978,75.31,61.7,metric
22,1695381720673,76.18,60.67,metric
22,1695381885723,75.84,60.92,metric
22,1695382206485,76.14,61.61,metric
22,1695382673227,76.19,61.24,metric
22,1695382845196,76.11,61.06,metric
22,1695382858147,75.95,61.66,metric
22,1695383120581,75.49,61.09,metric
22,1695383403472,75.96,61.47,metric
22,1695383510646,75.85,61.93,metric
22,1695383805453,75.31,61.88,metric
22,1695384022373,75.21,61.46,metric
22,1695384089467,75.83,61.41,metric
22,1695384120786,75.49,61.89,metric
22,1695384503870,76.08,61.17,metric
22,1695384791073,75.75,61.7,metric
22,1695384872443,75.37,61.53,metric
22,1695384952027,76.07,61.32,metric
22,1695385352123,75.41,61.66,metric
22,1695385735804,75.33,61.34,metric
22,1695385757798,75.48,61.28,metric
22,1695385812616,75.85,61.47,metric
22,1695385976350,75.33,61.39,metric
22,1695386191213,75.71,61.26,metric
22,1695386255724,76.07,61.8,metric
22,1695386279339,75.89,61.76,metric
22,1695387359489,76.01,61.8,metric
22,1695387437709,75.95,61.23,metric
22,1695387674387,75.26,61.01,metric
22,1695387727285,76.03,61.68,metric
22,1695387878258,75.57,61.87,metric
22,1695388338977,75.93,61.28,metric
22,1695388430879,75.56,61.74,metric
22,1695388522239,75.92,61.47,metric
22,1695388635554,75.66,61.24,metric
22,1695389303753,76.11,61.93,metric
